"parameter","outer_width","inner_width","point_est","ll","l","m","h","hh"
"rank_theta[1]",0.9,0.5,"mean",1,2,4.1975,6,10
"rank_theta[2]",0.9,0.5,"mean",2,4,7.81375,10,17
"rank_theta[3]",0.9,0.5,"mean",5,10,14.87075,19,27
"rank_theta[4]",0.9,0.5,"mean",5,10,14.70525,19,27
"rank_theta[5]",0.9,0.5,"mean",6,11,16.595875,21,30
"rank_theta[6]",0.9,0.5,"mean",10,17,23.059375,28,40
"rank_theta[7]",0.9,0.5,"mean",14,22,30.811875,37,56
"rank_theta[8]",0.9,0.5,"mean",24,33,45.261375,55,76
"rank_theta[9]",0.9,0.5,"mean",30,43,55.84475,68,86
"rank_theta[10]",0.9,0.5,"mean",28,42,56.433,70,90
"rank_theta[11]",0.9,0.5,"mean",38,54,67.90625,81,97
"rank_theta[12]",0.9,0.5,"mean",38,55,69.09175,83,99
"rank_theta[13]",0.9,0.5,"mean",38,56,69.52225,83,100
"rank_theta[14]",0.9,0.5,"mean",39,57,70.020375,84,100
"rank_theta[15]",0.9,0.5,"mean",38,55,69.34625,83,100
"rank_theta[16]",0.9,0.5,"mean",39,56,69.35625,83,99
"rank_theta[17]",0.9,0.5,"mean",39,57,71.623875,86,103
"rank_theta[18]",0.9,0.5,"mean",41,62,76.138875,91,108
"rank_theta[19]",0.9,0.5,"mean",57,77,89.253125,102,118
"rank_theta[20]",0.9,0.5,"mean",62,82,92.267625,104,118
"rank_theta[21]",0.9,0.5,"mean",66,86,96.526375,108,124
"rank_theta[22]",0.9,0.5,"mean",66,85,96.0905,107,124
"rank_theta[23]",0.9,0.5,"mean",76,93,103.198125,113,130
"rank_theta[24]",0.9,0.5,"mean",77,94,103.18425,113,128
"rank_theta[25]",0.9,0.5,"mean",82,99,109.38225,120,137
"rank_theta[26]",0.9,0.5,"mean",89,104,114.306625,125,142
"rank_theta[27]",0.9,0.5,"mean",85,103,114.88625,126,146
"rank_theta[28]",0.9,0.5,"mean",95,110,121.130375,132,151
"rank_theta[29]",0.9,0.5,"mean",94,110,121.05125,132,150
"rank_theta[30]",0.9,0.5,"mean",95,110,121.543125,132,152
"rank_theta[31]",0.9,0.5,"mean",94,109,120.840375,132,150
"rank_theta[32]",0.9,0.5,"mean",100,115,125.748125,136,155
"rank_theta[33]",0.9,0.5,"mean",100,114,125.80275,137,155
"rank_theta[34]",0.9,0.5,"mean",96,114,127.420125,140,162
"rank_theta[35]",0.9,0.5,"mean",112,130,145.660125,160,182.049999999999
"rank_theta[36]",0.9,0.5,"mean",114,131,145.1745,158,180
"rank_theta[37]",0.9,0.5,"mean",119,135,148.949,162,182
"rank_theta[38]",0.9,0.5,"mean",121,137,150.034125,162,182
"rank_theta[39]",0.9,0.5,"mean",121,137,150.130125,163,182
"rank_theta[40]",0.9,0.5,"mean",131,148,162.10425,176,195
"rank_theta[41]",0.9,0.5,"mean",130,149,163.153875,177,196
"rank_theta[42]",0.9,0.5,"mean",129,148,162.304625,176,195
"rank_theta[43]",0.9,0.5,"mean",143.95,163,175.536375,189,205
"rank_theta[44]",0.9,0.5,"mean",144,164,177.572125,191,208
"rank_theta[45]",0.9,0.5,"mean",142,164,178.88175,195,212
"rank_theta[46]",0.9,0.5,"mean",157,177,188.300125,201,216
"rank_theta[47]",0.9,0.5,"mean",158,178,190.126625,203,219
"rank_theta[48]",0.9,0.5,"mean",171,190,200.28125,212,226
"rank_theta[49]",0.9,0.5,"mean",173,193,203.965625,216,231
"rank_theta[50]",0.9,0.5,"mean",174,193,204.069,216,231
"rank_theta[51]",0.9,0.5,"mean",179,199,210.153875,222,239
"rank_theta[52]",0.9,0.5,"mean",185,202,211.6005,222,238
"rank_theta[53]",0.9,0.5,"mean",188,206,216.075125,227,243
"rank_theta[54]",0.9,0.5,"mean",188.95,206,216.136125,227,244
"rank_theta[55]",0.9,0.5,"mean",188,206,216.01425,227,243
"rank_theta[56]",0.9,0.5,"mean",190,207,217.670125,228,245
"rank_theta[57]",0.9,0.5,"mean",194,212,223.065875,234,254
"rank_theta[58]",0.9,0.5,"mean",202,218,228.868875,239,260
"rank_theta[59]",0.9,0.5,"mean",202,218,229.09625,239,260
"rank_theta[60]",0.9,0.5,"mean",203,220,234.0495,246,271
"rank_theta[61]",0.9,0.5,"mean",208,223,233.928875,245,264
"rank_theta[62]",0.9,0.5,"mean",219,233,246.1545,258,279
"rank_theta[63]",0.9,0.5,"mean",229,245,259.059375,273,292
"rank_theta[64]",0.9,0.5,"mean",229,245,259.025,273,292
"rank_theta[65]",0.9,0.5,"mean",229,245,259.4265,273,291
"rank_theta[66]",0.9,0.5,"mean",240,259,272.480875,287,302
"rank_theta[67]",0.9,0.5,"mean",240,259,272.527375,288,302
"rank_theta[68]",0.9,0.5,"mean",238,257,271.448875,287,302
"rank_theta[69]",0.9,0.5,"mean",238,257,271.756625,287,303
"rank_theta[70]",0.9,0.5,"mean",240,258,272.1105,287,302
"rank_theta[71]",0.9,0.5,"mean",234,256,271.875375,289,305
"rank_theta[72]",0.9,0.5,"mean",238,259,272.84825,288,303
"rank_theta[73]",0.9,0.5,"mean",240,258.75,272.369125,287,302
"rank_theta[74]",0.9,0.5,"mean",253,274,285.006625,298,309
"rank_theta[75]",0.9,0.5,"mean",254,279,289.653375,304,313
"rank_theta[76]",0.9,0.5,"mean",272,292,299.27775,309,316
"rank_theta[77]",0.9,0.5,"mean",289,304,308.415875,315,322
"rank_theta[78]",0.9,0.5,"mean",303,311,315.162375,319,327
"rank_theta[79]",0.9,0.5,"mean",307,314,318.13675,323,330
"rank_theta[80]",0.9,0.5,"mean",312,318,323.328625,328,337
"rank_theta[81]",0.9,0.5,"mean",315,322,327.494375,333,341
"rank_theta[82]",0.9,0.5,"mean",317,323,328.85475,334.25,342
"rank_theta[83]",0.9,0.5,"mean",317,323,329.15525,335,342
"rank_theta[84]",0.9,0.5,"mean",320,329,334.072625,340,345
"rank_theta[85]",0.9,0.5,"mean",320,328,333.793875,340,345
"rank_theta[86]",0.9,0.5,"mean",328,336,339.35925,344,347
"rank_theta[87]",0.9,0.5,"mean",334,341,343.135125,347,348
"rank_theta[88]",0.9,0.5,"mean",1,3,6.647125,9,15
"rank_theta[89]",0.9,0.5,"mean",5,9,14.253875,18,26
"rank_theta[90]",0.9,0.5,"mean",5,9,14.25125,18,26
"rank_theta[91]",0.9,0.5,"mean",15,23,31.0415,37,54
"rank_theta[92]",0.9,0.5,"mean",17,25,33.473375,40,58
"rank_theta[93]",0.9,0.5,"mean",17,25,33.417375,40,57
"rank_theta[94]",0.9,0.5,"mean",16,24,32.63025,39,56
"rank_theta[95]",0.9,0.5,"mean",23,32,43.422375,53,72
"rank_theta[96]",0.9,0.5,"mean",24,32,43.28625,52,71
"rank_theta[97]",0.9,0.5,"mean",29.9499999999999,42,55.297625,67,87
"rank_theta[98]",0.9,0.5,"mean",29,42,54.962375,67,86
"rank_theta[99]",0.9,0.5,"mean",30,42,55.333125,68,87
"rank_theta[100]",0.9,0.5,"mean",29,42,55.018875,67,86
"rank_theta[101]",0.9,0.5,"mean",30,42,55.579375,68,87
"rank_theta[102]",0.9,0.5,"mean",38.9499999999999,55,68.763125,82,99
"rank_theta[103]",0.9,0.5,"mean",38,55,68.647625,82,99
"rank_theta[104]",0.9,0.5,"mean",38,55,68.39525,82,99
"rank_theta[105]",0.9,0.5,"mean",38,55,68.6195,82,99
"rank_theta[106]",0.9,0.5,"mean",38,55,68.325625,82,99
"rank_theta[107]",0.9,0.5,"mean",39,56,70.817375,85,102
"rank_theta[108]",0.9,0.5,"mean",39,57,71.232125,85,103
"rank_theta[109]",0.9,0.5,"mean",47,66,78.206,91,106
"rank_theta[110]",0.9,0.5,"mean",50,69,81.955375,95,110
"rank_theta[111]",0.9,0.5,"mean",50,69,81.942625,95,110
"rank_theta[112]",0.9,0.5,"mean",50,71,82.58025,96,111
"rank_theta[113]",0.9,0.5,"mean",54,75,87.39925,101,117
"rank_theta[114]",0.9,0.5,"mean",64,85,95.20175,107,122
"rank_theta[115]",0.9,0.5,"mean",66,85,95.3805,107,123
"rank_theta[116]",0.9,0.5,"mean",80,97,107.906375,118,136
"rank_theta[117]",0.9,0.5,"mean",80,97,107.772125,118,136
"rank_theta[118]",0.9,0.5,"mean",93,108,120.0055,131,149
"rank_theta[119]",0.9,0.5,"mean",108,123,135.1695,147,166
"rank_theta[120]",0.9,0.5,"mean",114,131,145.241125,158,181
"rank_theta[121]",0.9,0.5,"mean",116,134,147.13575,160,180
"rank_theta[122]",0.9,0.5,"mean",116,133,146.9805,160,180
"rank_theta[123]",0.9,0.5,"mean",117,134,147.331,160,181
"rank_theta[124]",0.9,0.5,"mean",117,135,147.314375,160,179
"rank_theta[125]",0.9,0.5,"mean",128,148,161.34125,175,194
"rank_theta[126]",0.9,0.5,"mean",129,148,161.48075,175,194
"rank_theta[127]",0.9,0.5,"mean",126,147,163.00275,179,199
"rank_theta[128]",0.9,0.5,"mean",129,148,161.607625,176,194
"rank_theta[129]",0.9,0.5,"mean",128,147,161.105375,175,194
"rank_theta[130]",0.9,0.5,"mean",128,147,161.824875,176,196
"rank_theta[131]",0.9,0.5,"mean",129,148,161.583625,175,194
"rank_theta[132]",0.9,0.5,"mean",129,147,160.225125,173,191
"rank_theta[133]",0.9,0.5,"mean",142,161,173.73075,187,204
"rank_theta[134]",0.9,0.5,"mean",143,163,176.027125,190,207
"rank_theta[135]",0.9,0.5,"mean",143,163,175.885375,189.25,207
"rank_theta[136]",0.9,0.5,"mean",142,163,177.03975,192,209
"rank_theta[137]",0.9,0.5,"mean",158,178,189.75725,203,219
"rank_theta[138]",0.9,0.5,"mean",157.95,178,190.092125,203,219
"rank_theta[139]",0.9,0.5,"mean",161,181,193.533,207,223
"rank_theta[140]",0.9,0.5,"mean",173,193,203.3735,215,230
"rank_theta[141]",0.9,0.5,"mean",173,192,202.87175,215,230
"rank_theta[142]",0.9,0.5,"mean",173,192,203.00275,215,230
"rank_theta[143]",0.9,0.5,"mean",173,192,203.075125,215,231
"rank_theta[144]",0.9,0.5,"mean",182,199,209.641,220,236
"rank_theta[145]",0.9,0.5,"mean",181,199,209.37575,220,234
"rank_theta[146]",0.9,0.5,"mean",200,216,227.1555,238,258
"rank_theta[147]",0.9,0.5,"mean",212,228,241.30775,253,276
"rank_theta[148]",0.9,0.5,"mean",212,228,240.97325,252,275
"rank_theta[149]",0.9,0.5,"mean",213,228,241.459125,253,275
"rank_theta[150]",0.9,0.5,"mean",216,231,243.596125,255,276
"rank_theta[151]",0.9,0.5,"mean",224,241,255.434,270,290
"rank_theta[152]",0.9,0.5,"mean",226,242,256.521375,270,290
"rank_theta[153]",0.9,0.5,"mean",237,257,270.52225,286,301
"rank_theta[154]",0.9,0.5,"mean",236,256,270.56725,286,302
"rank_theta[155]",0.9,0.5,"mean",236.95,256,269.9875,285,301
"rank_theta[156]",0.9,0.5,"mean",237,256,270.3415,286,302
"rank_theta[157]",0.9,0.5,"mean",235,255,269.981625,286,301
"rank_theta[158]",0.9,0.5,"mean",237,256,270.16175,285,301
"rank_theta[159]",0.9,0.5,"mean",250,273,284.10075,298,308
"rank_theta[160]",0.9,0.5,"mean",251,273,284.16575,298,308
"rank_theta[161]",0.9,0.5,"mean",251,273,284.422625,299,309
"rank_theta[162]",0.9,0.5,"mean",249,271,283.3325,297,308
"rank_theta[163]",0.9,0.5,"mean",251,273,284.528375,298,308
"rank_theta[164]",0.9,0.5,"mean",252,275,286.518375,301,310
"rank_theta[165]",0.9,0.5,"mean",269,291,298.201125,309,315
"rank_theta[166]",0.9,0.5,"mean",282,300,304.513375,312,318
"rank_theta[167]",0.9,0.5,"mean",284,300,304.8005,312,318
"rank_theta[168]",0.9,0.5,"mean",296,308,311.68825,317,324
"rank_theta[169]",0.9,0.5,"mean",296,308,311.711125,317,324
"rank_theta[170]",0.9,0.5,"mean",296,308,311.69325,317,323
"rank_theta[171]",0.9,0.5,"mean",309,316,321.3625,326,335
"rank_theta[172]",0.9,0.5,"mean",312,318,322.9925,328,336
"rank_theta[173]",0.9,0.5,"mean",313,319,324.06175,329,337
"rank_theta[174]",0.9,0.5,"mean",316,323,328.68825,334,341
"rank_theta[175]",0.9,0.5,"mean",317,324,329.18425,335,342
"rank_theta[176]",0.9,0.5,"mean",322,329,334.33775,340,345
"rank_theta[177]",0.9,0.5,"mean",322,329,334.084,340,345
"rank_theta[178]",0.9,0.5,"mean",327,335,339.218,344,347
"rank_theta[179]",0.9,0.5,"mean",349,351,351.709625,353,353
"rank_theta[180]",0.9,0.5,"mean",1,2,5.041375,7,12
"rank_theta[181]",0.9,0.5,"mean",1,2,5.398875,7,13
"rank_theta[182]",0.9,0.5,"mean",1,2,5.053375,7,12
"rank_theta[183]",0.9,0.5,"mean",4,8,13.104375,17,26
"rank_theta[184]",0.9,0.5,"mean",6,10,14.67975,18,26
"rank_theta[185]",0.9,0.5,"mean",7,12,16.977125,21,31
"rank_theta[186]",0.9,0.5,"mean",10,16,22.026375,27,38
"rank_theta[187]",0.9,0.5,"mean",10,16,22.636375,27,40
"rank_theta[188]",0.9,0.5,"mean",16,24,34.105125,41.25,62
"rank_theta[189]",0.9,0.5,"mean",19,28,37.495125,45,65
"rank_theta[190]",0.9,0.5,"mean",19,29,43.21775,54,79
"rank_theta[191]",0.9,0.5,"mean",25,35,47.8525,58,81
"rank_theta[192]",0.9,0.5,"mean",24,35,47.857875,58,81
"rank_theta[193]",0.9,0.5,"mean",25,36,48.763,60,81
"rank_theta[194]",0.9,0.5,"mean",26,36,48.5935,59,80
"rank_theta[195]",0.9,0.5,"mean",33,48,62.14775,75,95
"rank_theta[196]",0.9,0.5,"mean",32,47,61.81025,75,95
"rank_theta[197]",0.9,0.5,"mean",32,47,61.8335,76,95
"rank_theta[198]",0.9,0.5,"mean",32,46,60.92675,75,94
"rank_theta[199]",0.9,0.5,"mean",33,46,60.789875,74,94
"rank_theta[200]",0.9,0.5,"mean",43,60,73.0135,86,102
"rank_theta[201]",0.9,0.5,"mean",42,61,74.431375,88,104.049999999999
"rank_theta[202]",0.9,0.5,"mean",43,61,74.665875,88,105
"rank_theta[203]",0.9,0.5,"mean",42.9499999999999,61,75.209375,89,106
"rank_theta[204]",0.9,0.5,"mean",57,77,89.267875,102,119
"rank_theta[205]",0.9,0.5,"mean",56,76,87.782875,100,117
"rank_theta[206]",0.9,0.5,"mean",59,80,91.7815,104,122
"rank_theta[207]",0.9,0.5,"mean",57,79,91.171625,104,121
"rank_theta[208]",0.9,0.5,"mean",72,91,102.049,113,131
"rank_theta[209]",0.9,0.5,"mean",71.9499999999999,90,100.985125,112,130
"rank_theta[210]",0.9,0.5,"mean",91,108,120.707,132,155
"rank_theta[211]",0.9,0.5,"mean",92,108,120.49875,132,153
"rank_theta[212]",0.9,0.5,"mean",98,114,126.632375,139,159
"rank_theta[213]",0.9,0.5,"mean",99,114,126.371625,138,159
"rank_theta[214]",0.9,0.5,"mean",100,117,131.53225,145,169
"rank_theta[215]",0.9,0.5,"mean",103,118,130.72575,142,163
"rank_theta[216]",0.9,0.5,"mean",109,126,139.375125,152,173
"rank_theta[217]",0.9,0.5,"mean",109,126,139.837,153,175
"rank_theta[218]",0.9,0.5,"mean",122,139,153.54275,167,188
"rank_theta[219]",0.9,0.5,"mean",122,139,154.004,168,189
"rank_theta[220]",0.9,0.5,"mean",133,153,167.657875,182,202
"rank_theta[221]",0.9,0.5,"mean",133,153,168.633375,184,203
"rank_theta[222]",0.9,0.5,"mean",131,152,167.9095,184,205
"rank_theta[223]",0.9,0.5,"mean",135,154,168.2435,182,201
"rank_theta[224]",0.9,0.5,"mean",150,170,182.82625,196,213
"rank_theta[225]",0.9,0.5,"mean",147,168,181.49375,195,213
"rank_theta[226]",0.9,0.5,"mean",148,169,182.65175,197,216
"rank_theta[227]",0.9,0.5,"mean",148,170,183.910875,198,216
"rank_theta[228]",0.9,0.5,"mean",149,171,185.460875,201,220
"rank_theta[229]",0.9,0.5,"mean",163,183,195.327,208,225
"rank_theta[230]",0.9,0.5,"mean",162,183,195.089875,208,225
"rank_theta[231]",0.9,0.5,"mean",178,197,208.205,220,237
"rank_theta[232]",0.9,0.5,"mean",183,202,213.77825,225,244
"rank_theta[233]",0.9,0.5,"mean",194,211,221.979125,233,253
"rank_theta[234]",0.9,0.5,"mean",202,216,227.443375,238,258
"rank_theta[235]",0.9,0.5,"mean",206,221,234.222,246,268
"rank_theta[236]",0.9,0.5,"mean",207,222,234.980125,246,269
"rank_theta[237]",0.9,0.5,"mean",205,221,233.44175,245,267
"rank_theta[238]",0.9,0.5,"mean",212,227,239.0995,251,273
"rank_theta[239]",0.9,0.5,"mean",213,229,243.804,257,281
"rank_theta[240]",0.9,0.5,"mean",213,230,244.119,258,282
"rank_theta[241]",0.9,0.5,"mean",218,234,248.732125,262.25,285
"rank_theta[242]",0.9,0.5,"mean",229,246,261.727125,277,296
"rank_theta[243]",0.9,0.5,"mean",229,247,262.018,277,297
"rank_theta[244]",0.9,0.5,"mean",229,246,261.673125,277,296
"rank_theta[245]",0.9,0.5,"mean",240,261,275.9015,293,306
"rank_theta[246]",0.9,0.5,"mean",241,262,277.054,293,307
"rank_theta[247]",0.9,0.5,"mean",240,262,276.73375,293,307
"rank_theta[248]",0.9,0.5,"mean",242,263,277.2615,293,306
"rank_theta[249]",0.9,0.5,"mean",241,262,276.101875,291,305
"rank_theta[250]",0.9,0.5,"mean",241,262,276.46375,292,306
"rank_theta[251]",0.9,0.5,"mean",242,263,276.431125,292,305
"rank_theta[252]",0.9,0.5,"mean",238,261,276.323625,294,307
"rank_theta[253]",0.9,0.5,"mean",259,283,292.5845,305,314
"rank_theta[254]",0.9,0.5,"mean",273,292,298.861875,308,315
"rank_theta[255]",0.9,0.5,"mean",274,294,300.2755,310,317
"rank_theta[256]",0.9,0.5,"mean",274,293,300.053375,309,317
"rank_theta[257]",0.9,0.5,"mean",272,293,299.8835,309,316
"rank_theta[258]",0.9,0.5,"mean",313,320,325.380375,331,339
"rank_theta[259]",0.9,0.5,"mean",315,322,327.183125,333,340
"rank_theta[260]",0.9,0.5,"mean",319,327,331.988125,338,344
"rank_theta[261]",0.9,0.5,"mean",322,331,336.00625,342,346
"rank_theta[262]",0.9,0.5,"mean",324,332,336.66975,342,346
"rank_theta[263]",0.9,0.5,"mean",329,338,340.860875,345,347
"rank_theta[264]",0.9,0.5,"mean",330,338,341.10025,345,347
"rank_theta[265]",0.9,0.5,"mean",345,348,348.093625,349,351
"rank_theta[266]",0.9,0.5,"mean",1,1,3.428375,5,9
"rank_theta[267]",0.9,0.5,"mean",4,8,12.835375,17,24
"rank_theta[268]",0.9,0.5,"mean",5,10,15.6555,20,29
"rank_theta[269]",0.9,0.5,"mean",6,11,15.472125,20,27
"rank_theta[270]",0.9,0.5,"mean",6,11,15.343,19,27
"rank_theta[271]",0.9,0.5,"mean",13,20,25.7655,30.25,43
"rank_theta[272]",0.9,0.5,"mean",16,23,30.81025,37,53
"rank_theta[273]",0.9,0.5,"mean",16,23,30.815,37,53
"rank_theta[274]",0.9,0.5,"mean",17,25,32.788375,39,55
"rank_theta[275]",0.9,0.5,"mean",21,30,40.945875,49,70
"rank_theta[276]",0.9,0.5,"mean",27,38,51.83075,63,84
"rank_theta[277]",0.9,0.5,"mean",28,40,52.122,63,82
"rank_theta[278]",0.9,0.5,"mean",28,39,51.6255,63,82
"rank_theta[279]",0.9,0.5,"mean",27,39,51.869875,63,84
"rank_theta[280]",0.9,0.5,"mean",28,39,52.0465,63,83
"rank_theta[281]",0.9,0.5,"mean",35,50,63.692625,77,94
"rank_theta[282]",0.9,0.5,"mean",36,50,63.744625,77,93
"rank_theta[283]",0.9,0.5,"mean",36,51,65.55875,80,97
"rank_theta[284]",0.9,0.5,"mean",37,54,68.688125,83,101
"rank_theta[285]",0.9,0.5,"mean",36,54,68.692375,83,101.049999999999
"rank_theta[286]",0.9,0.5,"mean",45,63,75.9735,89,104
"rank_theta[287]",0.9,0.5,"mean",47,68,81.628125,96,112
"rank_theta[288]",0.9,0.5,"mean",69,88,98.49375,110,125
"rank_theta[289]",0.9,0.5,"mean",82,100,109.97625,121,137
"rank_theta[290]",0.9,0.5,"mean",82,99,109.71075,120,137
"rank_theta[291]",0.9,0.5,"mean",95,110,120.78575,131,149
"rank_theta[292]",0.9,0.5,"mean",93,110,120.670625,131,149
"rank_theta[293]",0.9,0.5,"mean",94,110,120.778375,132,149
"rank_theta[294]",0.9,0.5,"mean",100,116,129.10575,141,161.049999999999
"rank_theta[295]",0.9,0.5,"mean",105,121,132.4495,144,163
"rank_theta[296]",0.9,0.5,"mean",104,120,132.398375,144,163
"rank_theta[297]",0.9,0.5,"mean",104,120,132.381375,144,163
"rank_theta[298]",0.9,0.5,"mean",111,128,142.815,156,178
"rank_theta[299]",0.9,0.5,"mean",110,128,142.071,156,177
"rank_theta[300]",0.9,0.5,"mean",111,128,142.587125,156,178
"rank_theta[301]",0.9,0.5,"mean",115,132,144.8545,157,177
"rank_theta[302]",0.9,0.5,"mean",115,132,144.58975,157,176
"rank_theta[303]",0.9,0.5,"mean",126,144,157.450875,171,189
"rank_theta[304]",0.9,0.5,"mean",126,145,157.733125,171,189
"rank_theta[305]",0.9,0.5,"mean",138,157,170.357,184,202
"rank_theta[306]",0.9,0.5,"mean",138,158,170.798375,184,202
"rank_theta[307]",0.9,0.5,"mean",139,158,170.87225,185,201
"rank_theta[308]",0.9,0.5,"mean",140,161,175.355125,190,208
"rank_theta[309]",0.9,0.5,"mean",151,171,183.153375,196,212
"rank_theta[310]",0.9,0.5,"mean",151,172,183.527125,196,212
"rank_theta[311]",0.9,0.5,"mean",152,171,183.295375,196,212
"rank_theta[312]",0.9,0.5,"mean",152,171,183.4955,196.25,212
"rank_theta[313]",0.9,0.5,"mean",153,173,185.832625,199,215
"rank_theta[314]",0.9,0.5,"mean",154,176,189.642,204,221
"rank_theta[315]",0.9,0.5,"mean",167,188,199.328,212,227
"rank_theta[316]",0.9,0.5,"mean",173,194,205.8505,218,235
"rank_theta[317]",0.9,0.5,"mean",178,196,206.780375,218,232
"rank_theta[318]",0.9,0.5,"mean",184,202,213.037375,224,241
"rank_theta[319]",0.9,0.5,"mean",203,218,229.11575,239,258
"rank_theta[320]",0.9,0.5,"mean",202,218,229.0205,239,258
"rank_theta[321]",0.9,0.5,"mean",204,222,234.554125,246,269
"rank_theta[322]",0.9,0.5,"mean",212,228,240.694125,252,273
"rank_theta[323]",0.9,0.5,"mean",221,238,252.334375,266,287
"rank_theta[324]",0.9,0.5,"mean",223,240,253.889875,268,288
"rank_theta[325]",0.9,0.5,"mean",223,239,253.52825,267,287
"rank_theta[326]",0.9,0.5,"mean",223.95,240,253.682375,267,287
"rank_theta[327]",0.9,0.5,"mean",223,239,253.398625,267,287
"rank_theta[328]",0.9,0.5,"mean",223,239,253.609875,267,288
"rank_theta[329]",0.9,0.5,"mean",224,240,253.982375,267,288
"rank_theta[330]",0.9,0.5,"mean",234,253,266.95275,282,298
"rank_theta[331]",0.9,0.5,"mean",234,253,266.938875,282,299
"rank_theta[332]",0.9,0.5,"mean",232,251,266.015375,281,299
"rank_theta[333]",0.9,0.5,"mean",234,253,266.930875,281,298
"rank_theta[334]",0.9,0.5,"mean",232,251,266.079375,282,299
"rank_theta[335]",0.9,0.5,"mean",246,268,280.066875,294,306
"rank_theta[336]",0.9,0.5,"mean",246,267,279.845125,294,306
"rank_theta[337]",0.9,0.5,"mean",246,267,280.087125,295,307
"rank_theta[338]",0.9,0.5,"mean",246,267,280.079875,295,306
"rank_theta[339]",0.9,0.5,"mean",246,268,281.115625,296,308
"rank_theta[340]",0.9,0.5,"mean",260,282,291.299125,304,312
"rank_theta[341]",0.9,0.5,"mean",260,282,291.309875,304,312
"rank_theta[342]",0.9,0.5,"mean",292,306,310.08425,316,323
"rank_theta[343]",0.9,0.5,"mean",309,317,321.65775,327,335
"rank_theta[344]",0.9,0.5,"mean",314,321,327.14475,333,341
"rank_theta[345]",0.9,0.5,"mean",315,322,327.322,333,341
"rank_theta[346]",0.9,0.5,"mean",319,327,332.893375,339,345
"rank_theta[347]",0.9,0.5,"mean",320,328,333.05425,339,344
"rank_theta[348]",0.9,0.5,"mean",330,339,341.5015,346,347
"rank_theta[349]",0.9,0.5,"mean",331,339,341.421125,346,347
"rank_theta[350]",0.9,0.5,"mean",347,349,349.290375,350,352
"rank_theta[351]",0.9,0.5,"mean",348,349,350.13325,351,353
"rank_theta[352]",0.9,0.5,"mean",349,351,351.5715,353,353
"rank_theta[353]",0.9,0.5,"mean",349,351,351.450875,353,353
